Timestamp;Value;Type
3:59:34 PM.208;LED4 (Red 1): OFF\r\n;received
3:59:34 PM.225;LED5 (Red 2): OFF\r\n;received
3:59:34 PM.256;--------------------\r\n;received
3:59:35 PM.249;Distance: 48 cm\r\n;received
3:59:35 PM.281;LED1 (Green 1): ON\r\n;received
3:59:35 PM.297;LED2 (Green 2): OFF\r\n;received
3:59:35 PM.329;LED3 (Yellow): OFF\r\n;received
3:59:35 PM.345;LED4 (Red 1): OFF\r\n;received
3:59:35 PM.361;LED5 (Red 2): OFF\r\n;received
3:59:35 PM.376;--------------------\r\n;received
3:59:36 PM.402;Distance: 0 cm\r\n;received
3:59:36 PM.418;LED1 (Green 1): OFF\r\n;received
3:59:36 PM.432;LED2 (Green 2): OFF\r\n;received
3:59:36 PM.465;LED3 (Yellow): OFF\r\n;received
3:59:36 PM.481;LED4 (Red 1): OFF\r\n;received
3:59:36 PM.496;LED5 (Red 2): ON\r\n;received
3:59:36 PM.529;--------------------\r\n;received
3:59:37 PM.522;Distance: 46 cm\r\n;received
3:59:37 PM.553;LED1 (Green 1): ON\r\n;received
3:59:37 PM.569;LED2 (Green 2): OFF\r\n;received
3:59:37 PM.585;LED3 (Yellow): OFF\r\n;received
3:59:37 PM.601;LED4 (Red 1): OFF\r\n;received
3:59:37 PM.632;LED5 (Red 2): OFF\r\n;received
3:59:37 PM.649;--------------------\r\n;received
3:59:38 PM.657;Distance: 47 cm\r\n;received
3:59:38 PM.673;LED1 (Green 1): ON\r\n;received
3:59:38 PM.708;LED2 (Green 2): OFF\r\n;received
3:59:38 PM.721;LED3 (Yellow): OFF\r\n;received
3:59:38 PM.737;LED4 (Red 1): OFF\r\n;received
3:59:38 PM.753;LED5 (Red 2): OFF\r\n;received
3:59:38 PM.785;--------------------\r\n;received
3:59:39 PM.793;Distance: 0 cm\r\n;received
3:59:39 PM.810;LED1 (Green 1): OFF\r\n;received
3:59:39 PM.841;LED2 (Green 2): OFF\r\n;received
3:59:39 PM.857;LED3 (Yellow): OFF\r\n;received
3:59:39 PM.873;LED4 (Red 1): OFF\r\n;received
3:59:39 PM.889;LED5 (Red 2): ON\r\n;received
3:59:39 PM.921;--------------------\r\n;received
3:59:40 PM.930;Distance: 0 cm\r\n;received
3:59:40 PM.961;LED1 (Green 1): OFF\r\n;received
3:59:40 PM.977;LED2 (Green 2): OFF\r\n;received
3:59:40 PM.993;LED3 (Yellow): OFF\r\n;received
3:59:41 PM.9;LED4 (Red 1): OFF\r\n;received
3:59:41 PM.41;LED5 (Red 2): ON\r\n;received
3:59:41 PM.57;--------------------\r\n;received
3:59:42 PM.66;Distance: 0 cm\r\n;received
3:59:42 PM.97;LED1 (Green 1): OFF\r\n;received
3:59:42 PM.113;LED2 (Green 2): OFF\r\n;received
3:59:42 PM.129;LED3 (Yellow): OFF\r\n;received
3:59:42 PM.161;LED4 (Red 1): OFF\r\n;received
3:59:42 PM.177;LED5 (Red 2): ON\r\n;received
3:59:42 PM.193;--------------------\r\n;received
3:59:43 PM.201;Distance: 41 cm\r\n;received
3:59:43 PM.217;LED1 (Green 1): ON\r\n;received
3:59:43 PM.250;LED2 (Green 2): OFF\r\n;received
3:59:43 PM.265;LED3 (Yellow): OFF\r\n;received
3:59:43 PM.281;LED4 (Red 1): OFF\r\n;received
3:59:43 PM.313;LED5 (Red 2): OFF\r\n;received
3:59:43 PM.329;--------------------\r\n;received
3:59:44 PM.338;Distance: 41 cm\r\n;received
3:59:44 PM.353;LED1 (Green 1): ON\r\n;received
3:59:44 PM.369;LED2 (Green 2): OFF\r\n;received
3:59:44 PM.401;LED3 (Yellow): OFF\r\n;received
3:59:44 PM.417;LED4 (Red 1): OFF\r\n;received
3:59:44 PM.433;LED5 (Red 2): OFF\r\n;received
3:59:44 PM.449;--------------------\r\n;received
3:59:45 PM.458;Distance: 38 cm\r\n;received
