time,value
2024-09-02T14:43:53.317858861Z,{"lat":-37.82206147198581,"lon":145.11370529368804}
2024-09-02T14:43:54.330810918Z,{"lat":-37.8220653174572,"lon":145.11370655596923}
2024-09-02T14:43:55.34861135Z,{"lat":-37.82206639514462,"lon":145.1137071901296}
2024-09-02T14:43:56.364252753Z,{"lat":-37.82205945649099,"lon":145.1137014428855}
2024-09-02T14:43:57.380406967Z,{"lat":-37.82206538872782,"lon":145.11370463099146}
2024-09-02T14:43:58.394147899Z,{"lat":-37.82206451534264,"lon":145.11370602108065}
2024-09-02T14:43:59.410065616Z,{"lat":-37.82207057102068,"lon":145.113707206482}
2024-09-02T14:44:00.428917572Z,{"lat":-37.82207039047174,"lon":145.1137074824476}
2024-09-02T14:44:01.440483341Z,{"lat":-37.822063437689664,"lon":145.1137018903543}
2024-09-02T14:44:02.45618548Z,{"lat":-37.82206413426094,"lon":145.11370316527734}
2024-09-02T14:44:03.475730775Z,{"lat":-37.82206413426094,"lon":145.11370316527734}
2024-09-02T14:44:04.490057996Z,{"lat":-37.82206413426094,"lon":145.11370316527734}
2024-09-02T14:44:05.501081831Z,{"lat":-37.82206413426094,"lon":145.11370316527734}
2024-09-02T14:44:06.524992841Z,{"lat":-37.82206413426094,"lon":145.11370316527734}
2024-09-02T14:44:07.533578165Z,{"lat":-37.822069548653474,"lon":145.1137051597613}
2024-09-02T14:44:08.549561087Z,{"lat":-37.82206952222068,"lon":145.11370924354503}
2024-09-02T14:44:09.56598032Z,{"lat":-37.82207240877464,"lon":145.11370503788197}
2024-09-02T14:44:10.581723361Z,{"lat":-37.82207055257942,"lon":145.11370347277986}
2024-09-02T14:44:11.592748118Z,{"lat":-37.82207026300119,"lon":145.1137027637033}
2024-09-02T14:44:12.606422819Z,{"lat":-37.82206861187449,"lon":145.1137018797913}
2024-09-02T14:44:13.625797164Z,{"lat":-37.82206737410555,"lon":145.113703091151}
2024-09-02T14:44:14.642897893Z,{"lat":-37.82206551759722,"lon":145.11369777817126}
2024-09-02T14:44:15.657855852Z,{"lat":-37.82206924167734,"lon":145.1137018502196}
