timestamp,x,y,z
2024-09-04 11:04:44.360406,-0.06,-0.67,-0.37
2024-09-04 11:04:45.589319,-0.18,-0.73,-0.31
2024-09-04 11:04:46.224037,-0.24,-0.79,-0.49
2024-09-04 11:04:47.228832,-0.37,-0.92,-0.61
2024-09-04 11:04:48.243841,-0.43,-0.92,-0.49
2024-09-04 11:04:49.283529,-0.06,-0.73,-0.31
2024-09-04 11:04:50.913829,0.0,-0.61,-0.24
2024-09-04 11:04:51.227295,-0.12,-0.67,-0.31
2024-09-04 11:04:52.243681,-0.12,-0.67,-0.31
2024-09-04 11:04:53.257366,-0.24,-0.79,-0.79
2024-09-04 11:04:54.307461,-0.73,-1.22,-1.04
2024-09-04 11:04:55.419596,0.0,-0.61,-0.31
2024-09-04 11:04:56.256744,-0.18,-0.73,-0.31
2024-09-04 11:04:57.571326,-0.24,-0.73,-0.49
2024-09-04 11:04:58.277151,-0.24,-0.79,-0.49
2024-09-04 11:04:59.374133,-0.31,-0.85,-0.49
2024-09-04 11:05:00.336880,-0.18,-0.73,-0.43
2024-09-04 11:05:01.358411,-0.18,-0.73,-0.37
2024-09-04 11:05:02.335841,-0.24,-0.79,-0.49
2024-09-04 11:05:03.307692,-0.37,-0.92,-0.61
2024-09-04 11:05:04.533802,-0.31,-0.85,-0.61
2024-09-04 11:05:05.558795,-0.24,-0.85,-0.49
2024-09-04 11:05:07.092892,-0.12,-0.67,-0.37
2024-09-04 11:05:07.400565,-0.31,-0.85,-0.55
2024-09-04 11:05:08.325057,-0.31,-0.79,-0.61
2024-09-04 11:05:09.505121,-0.18,-0.79,-0.43
2024-09-04 11:05:10.410600,-0.06,-0.73,-0.43
2024-09-04 11:05:11.598296,-0.18,-0.79,-0.37
2024-09-04 11:05:12.357709,-0.12,-0.73,-0.31
2024-09-04 11:05:13.353616,-0.24,-0.79,-0.43
2024-09-04 11:05:14.466935,-0.12,-0.73,-0.43
2024-09-04 11:05:15.370441,-0.24,-0.79,-0.43
2024-09-04 11:05:16.513825,-0.24,-0.79,-0.43
2024-09-04 11:05:17.537561,-0.18,-0.73,-0.37
2024-09-04 11:05:18.409453,-0.31,-0.79,-0.49
2024-09-04 11:05:19.431186,-0.24,-0.79,-0.55
2024-09-04 11:05:20.410931,-0.24,-0.79,-0.49
2024-09-04 11:05:21.530972,-0.31,-0.85,-0.55
2024-09-04 11:05:22.778571,-0.18,-0.73,-0.37
2024-09-04 11:05:23.579043,-0.12,-0.73,-0.43
2024-09-04 11:05:24.500561,-0.24,-0.79,-0.49
2024-09-04 11:05:25.626904,-0.24,-0.79,-0.49
2024-09-04 11:05:26.439536,-0.24,-0.79,-0.43
2024-09-04 11:05:27.572539,-0.18,-0.79,-0.49
2024-09-04 11:05:28.471293,-0.24,-0.79,-0.49
2024-09-04 11:05:29.518028,-0.37,-0.92,-0.55
2024-09-04 11:05:30.681584,-0.12,-0.73,-0.37
2024-09-04 11:05:31.437277,-0.24,-0.79,-0.49
2024-09-04 11:05:32.489886,-0.18,-0.79,-0.43
2024-09-04 11:05:33.604392,-0.18,-0.73,-0.37
2024-09-04 11:05:34.480890,-0.24,-0.79,-0.49
2024-09-04 11:05:35.521540,-0.24,-0.73,-0.43
2024-09-04 11:05:36.791841,-0.24,-0.79,-0.49
2024-09-04 11:05:37.476243,-0.31,-0.85,-0.55
2024-09-04 11:05:38.845970,-0.24,-0.79,-0.49
2024-09-04 11:05:39.555283,-0.24,-0.79,-0.49
2024-09-04 11:05:40.679402,-0.24,-0.85,-0.55
2024-09-04 11:05:41.703368,-0.18,-0.79,-0.49
2024-09-04 11:05:42.510988,-0.18,-0.73,-0.43
2024-09-04 11:05:43.530060,-0.37,-0.92,-0.55
2024-09-04 11:05:44.675931,-0.24,-0.79,-0.49
2024-09-04 11:05:45.698720,-0.12,-0.73,-0.37
2024-09-04 11:05:46.722401,-0.31,-0.85,-0.55
2024-09-04 11:05:47.551381,-0.24,-0.79,-0.49
2024-09-04 11:05:48.665906,-0.24,-0.85,-0.49
2024-09-04 11:05:49.690677,-0.12,-0.67,-0.31
2024-09-04 11:05:50.819008,-0.24,-0.79,-0.49
2024-09-04 11:05:51.571155,-0.24,-0.79,-0.43
2024-09-04 11:05:52.665770,-0.12,-0.67,-0.31
2024-09-04 11:05:53.568390,-0.37,-0.85,-0.61
2024-09-04 11:05:55.047315,-0.24,-0.85,-0.55
2024-09-04 11:05:55.600771,-0.31,-0.85,-0.49
2024-09-04 11:05:56.860137,-0.06,-0.67,-0.37
2024-09-04 11:05:57.780115,-0.43,-0.98,-0.73
2024-09-04 11:05:58.805628,-0.18,-0.73,-0.43
2024-09-04 11:05:59.828266,-0.24,-0.73,-0.37
2024-09-04 11:06:00.749589,-0.12,-0.61,-0.37
2024-09-04 11:06:01.814484,-0.31,-0.85,-0.55
2024-09-04 11:06:02.765989,-0.37,-0.98,-0.61
2024-09-04 11:06:03.719193,-0.85,-1.28,-1.1
2024-09-04 11:06:04.743188,-0.12,-0.73,-0.43
2024-09-04 11:06:05.773200,-0.12,-0.67,-0.37
2024-09-04 11:06:06.792274,-0.31,-0.85,-0.49
2024-09-04 11:06:07.670284,-0.31,-0.79,-0.49
2024-09-04 11:06:08.736709,-0.18,-0.73,-0.37
2024-09-04 11:06:09.957130,-0.24,-0.79,-0.49
2024-09-04 11:06:11.501156,-0.24,-0.79,-0.49
2024-09-04 11:06:11.768131,-0.31,-0.85,-0.49
2024-09-04 11:06:12.775627,-0.37,-0.92,-0.67
2024-09-04 11:06:13.688076,-0.31,-0.79,-0.49
2024-09-04 11:06:14.778130,-0.24,-0.79,-0.37
2024-09-04 11:06:15.706463,-0.12,-0.67,-0.37
2024-09-04 11:06:16.826717,-0.43,-0.98,-0.61
2024-09-04 11:06:17.850598,-0.31,-0.85,-0.61
2024-09-04 11:06:18.775835,-0.24,-0.79,-0.37
2024-09-04 11:06:19.720302,-0.12,-0.67,-0.37
2024-09-04 11:06:20.819447,-0.55,-1.04,-0.79
2024-09-04 11:06:21.764649,0.06,-0.49,-0.18
2024-09-04 11:06:22.867869,-0.18,-0.73,-0.37
2024-09-04 11:06:23.828367,-0.43,-0.92,-0.61
2024-09-04 11:06:25.120609,-0.12,-0.67,-0.37
2024-09-04 11:06:25.939998,-0.12,-0.73,-0.31
2024-09-04 11:06:27.577907,-0.31,-0.85,-0.55
2024-09-04 11:06:27.914408,-0.18,-0.79,-0.37
2024-09-04 11:06:28.909467,-0.31,-0.79,-0.61
2024-09-04 11:06:29.786429,-0.24,-0.79,-0.55
2024-09-04 11:06:30.776775,0.0,-0.67,-0.18
2024-09-04 11:06:31.878669,-0.31,-0.85,-0.55
2024-09-04 11:06:32.906166,-0.43,-0.98,-0.67
2024-09-04 11:06:34.029376,-0.12,-0.67,-0.31
2024-09-04 11:06:34.962039,-0.18,-0.73,-0.37
2024-09-04 11:06:35.810054,-0.31,-0.85,-0.55
2024-09-04 11:06:36.998993,-0.43,-0.92,-0.67
2024-09-04 11:06:38.022878,-0.24,-0.79,-0.43
2024-09-04 11:06:38.884017,-0.43,-0.92,-0.67
2024-09-04 11:06:39.827962,-0.24,-0.85,-0.49
2024-09-04 11:06:40.858524,-0.24,-0.79,-0.43
2024-09-04 11:06:41.963725,-0.24,-0.79,-0.49
2024-09-04 11:06:43.490398,-0.31,-0.85,-0.55
2024-09-04 11:06:43.868498,-0.31,-0.85,-0.61
2024-09-04 11:06:44.863719,-0.31,-0.79,-0.49
2024-09-04 11:06:46.010064,-0.61,-1.1,-0.79
2024-09-04 11:06:47.138150,0.06,-0.49,-0.31
