#group,false,false,false,false
#datatype,dateTime:RFC3339,double,double,double
#default,,,,
,time,x,y,z
,2024-09-04T10:54:12.716449Z,-0.24,-0.79,-0.37
,2024-09-04T10:54:13.701333Z,-0.12,-0.73,-0.37
,2024-09-04T10:54:14.717739Z,-1.16,-1.1,-0.73
,2024-09-04T10:54:15.736005Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:16.813859Z,-0.37,-0.79,-0.43
,2024-09-04T10:54:17.72229Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:18.822409Z,-0.24,-0.79,-0.37
,2024-09-04T10:54:19.74233Z,-0.37,-0.79,-0.43
,2024-09-04T10:54:20.83881Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:22.195606Z,-0.31,-0.85,-0.49
,2024-09-04T10:54:23.361424Z,-0.31,-0.85,-0.43
,2024-09-04T10:54:23.774524Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:25.455325Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:25.793197Z,-0.12,-0.73,-0.37
,2024-09-04T10:54:27.033368Z,-0.18,-0.98,-0.49
,2024-09-04T10:54:27.782941Z,-0.18,-0.79,-0.37
,2024-09-04T10:54:28.882288Z,-0.06,-0.73,-0.37
,2024-09-04T10:54:29.794171Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:30.869754Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:31.82203Z,-0.31,-0.85,-0.49
,2024-09-04T10:54:32.834676Z,-0.24,-0.79,-0.37
,2024-09-04T10:54:33.829303Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:34.884448Z,-0.43,-0.92,-0.49
,2024-09-04T10:54:35.841294Z,-0.24,-0.79,-0.37
,2024-09-04T10:54:36.921566Z,-0.37,-0.79,-0.43
,2024-09-04T10:54:38.05855Z,-0.18,-0.73,-0.37
,2024-09-04T10:54:39.201444Z,-0.18,-0.79,-0.43
,2024-09-04T10:54:39.842904Z,-0.24,-0.73,-0.43
,2024-09-04T10:54:40.861564Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:41.867202Z,-0.18,-0.79,-0.43
,2024-09-04T10:54:43.024376Z,-0.31,-0.85,-0.43
,2024-09-04T10:54:44.325686Z,-0.18,-0.85,-0.43
,2024-09-04T10:54:44.907721Z,-0.24,-0.79,-0.49
,2024-09-04T10:54:45.952869Z,-0.31,-0.79,-0.37
,2024-09-04T10:54:46.933723Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:47.898786Z,-0.18,-0.79,-0.43
,2024-09-04T10:54:48.916941Z,-0.31,-0.79,-0.43
